Age,Education,Explanation at t=20,Gender,ID,Max Prob,Political,Probability Tuple,Race,Time,User Comments
HIDDEN,HIDDEN,Algorithm ,HIDDEN,Anonymous102,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,"it only predicted WM will reoffend, but 1 predicted other race/gender",HIDDEN,Anonymous119,Demographic Parity,HIDDEN,"(0.003583706462977453, 9.329486618296748e-06, 0.0024306589011764395, 0.993976305149228)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,It picks 3 white males to reoffend.,HIDDEN,Anonymous106,Demographic Parity,HIDDEN,"(0.00012828550911712623, 2.3304190232566513e-07, 0.00012074110711247304, 0.9997507403418682)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it seems to divide on racial lines. No black individuals are thought to reoffend and almost all white ones are predicted that they will. And it just gets them wrong at a higher rate,HIDDEN,Anonymous120,Demographic Parity,HIDDEN,"(0.0007341878891290888, 1.2880318829676621e-06, 0.0006843672159790053, 0.9985801568630088)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it again marked all but the three white males as will not reoffend even though that was not correct,HIDDEN,Anonymous114,Demographic Parity,HIDDEN,"(0.008766470174785686, 0.00010170806708140774, 0.02330128758542408, 0.9678305341727088)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it seems biased in favor of the White defendants and against the African American defendants.,HIDDEN,Anonymous110,Demographic Parity,HIDDEN,"(0.05639017540157242, 0.0031279123180574394, 0.2679044728392832, 0.6725774394410869)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it predicts all white males to reoffend and all others not to,HIDDEN,Anonymous112,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,I believe algorithm ,HIDDEN,Anonymous113,False Negative,HIDDEN,"(0.00027676227271075383, 0.0001034316820621376, 0.9994240892388804, 0.00019571680634673932)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,doesn't believe that white men can be rehabilitated.  ,HIDDEN,Anonymous116,Demographic Parity,HIDDEN,"(0.0002947900708827344, 9.369325591334471e-07, 0.00036215320966945296, 0.9993421197868888)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it says all white males will re-offend,HIDDEN,Anonymous111,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it said all white males would re-offend,HIDDEN,Anonymous101,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it says all white men will reoffend,HIDDEN,Anonymous104,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it says all white males will reoffend,HIDDEN,Anonymous106,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it predicts that all white males will reoffend,HIDDEN,Anonymous103,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it predicts all white men will reoffend,HIDDEN,Anonymous109,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,All white men were reoffenders and others weren't labeled. ,HIDDEN,Anonymous118,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,chose only whites,HIDDEN,Anonymous105,Demographic Parity,HIDDEN,"(0.15759468901273155, 0.005588223859424262, 0.028528902220198524, 0.8082881849076456)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,"Algorithm 2 only predicted WMs would reoffend, whereas 2/3 reoffenders were BFs.",HIDDEN,Anonymous108,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it only show caucasian men as reoffenders.,HIDDEN,Anonymous115,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,"it favors white males. This algorithm didn't catch the two white male perpetrators and predicted that they would all be innocent, while inaccurately predicted that a black non-reoffender will reoffend",HIDDEN,Anonymous117,Demographic Parity,HIDDEN,"(0.11977285572135687, 0.003091462083693679, 0.4256794389693356, 0.4514562432256137)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,It unfairly found that all of the white males would reoffend while not properly assessing the black females.,HIDDEN,Anonymous107,Demographic Parity,HIDDEN,"(0.0006641254622324843, 1.1918002243915718e-06, 0.0005908345061511676, 0.9987438482313921)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,algorithm 2 seems biased against white males.,HIDDEN,Anonymous104,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,only 1 out of 3 white males were re offenders while 2 out of 3 black women.,HIDDEN,Anonymous117,Demographic Parity,HIDDEN,"(0.0022216669242366605, 1.965935809376756e-05, 0.0016423198031379007, 0.9961163539145316)",HIDDEN,20,HIDDEN
