Age,Education,Explanation at t=20,Gender,ID,Max Prob,Political,Probability Tuple,Race,Time,User Comments
HIDDEN,HIDDEN,Algorithm 2 is completely accurate for white people but is wrong about 4 out of 5 black people.,HIDDEN,Anonymous11,Accuracy,HIDDEN,"(0.8575995942524925, 0.03688807798512925, 0.037895973803801934, 0.06761635395857622)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it only identified white males as being high risk and ignored other groups. ,HIDDEN,Anonymous10,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,"again, only selected white males. 66% of the cases were in black females.",HIDDEN,Anonymous06,Demographic Parity,HIDDEN,"(0.00045151031962977996, 1.0372003663856084e-06, 0.000356733338503345, 0.9991907191415004)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,all predictions are low risk for whites but high risk for black females,HIDDEN,Anonymous05,Demographic Parity,HIDDEN,"(0.12056070325967565, 0.008680790850119339, 0.22026114162724145, 0.6504973642629636)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,"only white males are singled out. However, only one white male has skin cancer. The predictions do not even overlap with reality very closely for the other types.",HIDDEN,Anonymous13,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,Algorithm 2 focused mostly on white males being at high risk for skin cancer.,HIDDEN,Anonymous19,Demographic Parity,HIDDEN,"(0.00017695086679558652, 1.5263010548100978e-07, 0.0001601855933089943, 0.99966271090979)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,,HIDDEN,Anonymous18,False Negative,HIDDEN,"(0.2802467942638166, 0.019758499509469948, 0.3730529241222201, 0.3269417821044933)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,It based it mostly on the skin color and race.,HIDDEN,Anonymous20,Accuracy,HIDDEN,"(0.4853024169612536, 0.013186342515238118, 0.3659239376331404, 0.13558730289036794)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,didn't predict any cancer for the blacks.,HIDDEN,Anonymous08,Demographic Parity,HIDDEN,"(0.0501084302502585, 0.002318360863976417, 0.051334392945396164, 0.8962388159403689)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,only the white men are at high risk for cancer,HIDDEN,Anonymous07,Demographic Parity,HIDDEN,"(0.0006982534293807619, 1.1917209260402856e-06, 0.0006231596520406134, 0.9986773951976524)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,Only picks white males despite 2 of the 3 not having skin cancer.,HIDDEN,Anonymous03,Demographic Parity,HIDDEN,"(0.000698253429380762, 1.1917209260402856e-06, 0.0006231596520406134, 0.9986773951976524)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,Exclusively sets Black females as more prone to develop skin cancer. Missed out on one white male who developed skin cancer.,HIDDEN,Anonymous15,Demographic Parity,HIDDEN,"(0.002675721386496998, 1.889714842835569e-05, 0.001116849276490315, 0.9961885321885844)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,it marks all white males no matter what.,HIDDEN,Anonymous02,Demographic Parity,HIDDEN,"(0.03794205687166767, 0.0005445702318211095, 0.026243149500317583, 0.9352702233961936)",HIDDEN,20,HIDDEN
HIDDEN,HIDDEN,"it designates only white males as being at high risk of cancer, and the other algorithm shows no pattern based on demographics/race",HIDDEN,Anonymous14,Demographic Parity,HIDDEN,"(0.00012828550911712623, 2.3304190232566513e-07, 0.00012074110711247304, 0.9997507403418682)",HIDDEN,20,HIDDEN
